model_name,repo,imagenet_top1,imagenet_top5,params,layer,hook,accuracy,baseline_accuracy
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,7,skip_layer_ffn_residual_no_residual_attention,0.1,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,7,full_layer_skip,62.7,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,8,skip_layer_atten,65.04,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,8,skip_layer_attention_residual,0.68,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,8,skip_layer_ffn,64.36,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,8,skip_layer_ffn_residual,5.76,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,8,skip_layer_ffn_residual_no_residual_attention,0.39,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,8,full_layer_skip,62.5,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,9,skip_layer_atten,65.53,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,9,skip_layer_attention_residual,6.05,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,9,skip_layer_ffn,65.62,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,9,skip_layer_ffn_residual,3.81,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,9,skip_layer_ffn_residual_no_residual_attention,0.98,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,9,full_layer_skip,63.96,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,10,skip_layer_atten,65.14,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,10,skip_layer_attention_residual,1.17,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,10,skip_layer_ffn,66.8,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,10,skip_layer_ffn_residual,21.88,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,10,skip_layer_ffn_residual_no_residual_attention,0.98,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,10,full_layer_skip,63.87,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,11,skip_layer_atten,66.6,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,11,skip_layer_attention_residual,7.81,66.8
